year_month,region,sst,salinity,species,elnino_index,phase,o2,ph
2017_09,Geoje,24.60001658,36.6,23.0,-0.5,LaNiNa,209.63943,8.039319
2017_09,Incheon,24.10331915,29.0,61.0,-0.5,LaNiNa,220.23592,8.043486
2017_09,Ulleungdo,23.49558205,33.2,54.0,-0.5,LaNiNa,224.1848,8.047571
2017_10,Geoje,20.5819403,35.1,2.0,-0.6,LaNiNa,217.12743,8.079569
2017_10,Incheon,19.83806452,30.2,11.0,-0.6,LaNiNa,234.14888,8.088448
2017_10,Ulleungdo,20.10951524,32.9,72.0,-0.6,LaNiNa,235.23923,8.098052
2017_11,Geoje,16.28461538,33.6,11.0,-0.8,LaNiNa,230.9477,8.12164
2017_11,Incheon,16.87,30.65,11.0,-0.8,LaNiNa,253.64029,8.1343775
2017_11,Ulleungdo,16.85695833,32.8,69.0,-0.8,LaNiNa,247.50275,8.140246
2017_12,Geoje,13.67677419,34.0,19.0,-1.0,LaNiNa,245.8451,8.14778
2017_12,Incheon,5.312018779,31.1,29.0,-1.0,LaNiNa,270.05508,8.176362
2017_12,Ulleungdo,12.78784367,33.8,1.0,-1.0,LaNiNa,256.21484,8.159534
2018_01,Geoje,11.83689516,34.2,4.0,-1.1,LaNiNa,252.26924,8.149338
2018_01,Incheon,1.861942675,31.3,51.0,-1.1,LaNiNa,280.9888,8.198469
2018_01,Ulleungdo,9.976511628,33.6,47.0,-1.1,LaNiNa,265.919,8.165929
2018_02,Geoje,11.25308955,34.4,39.0,-1.0,LaNiNa,265.76776,8.163561
2018_02,Incheon,0.106636905,31.3,12.0,-1.0,LaNiNa,296.77872,8.217139
2018_02,Ulleungdo,8.794774096,33.8,21.0,-1.0,LaNiNa,275.8837,8.173166
2018_03,Geoje,11.96564516,34.0,65.0,-0.4,Neutral,266.84857,8.151892
2018_03,Incheon,4.804099462,30.8,32.0,-0.4,Neutral,298.59714,8.193304
2018_03,Ulleungdo,9.200606061,33.6,39.0,-0.4,Neutral,287.92825,8.180346
2018_04,Geoje,13.62436111,33.9,21.0,-0.1,Neutral,258.32587,8.117223
2018_04,Incheon,9.699274756,30.3,49.0,-0.1,Neutral,285.00842,8.145549
2018_04,Ulleungdo,10.97978622,33.0,62.0,-0.1,Neutral,295.1709,8.178023
2018_05,Geoje,15.4597043,33.8,89.0,0.0,Neutral,244.87431,8.080907
2018_05,Incheon,13.85958491,29.4,32.0,0.0,Neutral,263.89856,8.077102
2018_05,Ulleungdo,16.30651882,27.5,184.0,0.0,Neutral,275.8485,8.123525
2018_06,Geoje,18.77254167,33.6,89.0,-0.1,Neutral,226.93306,8.030634
2018_06,Incheon,18.49279167,29.2,124.0,-0.1,Neutral,239.0629,7.9948807
2018_06,Ulleungdo,18.73970833,32.4,31.0,-0.1,Neutral,251.46405,8.061147
2018_07,Geoje,22.39695418,32.1,48.0,0.0,Neutral,213.29433,7.9976754
2018_07,Incheon,22.41359184,28.4,39.0,0.0,Neutral,220.50723,7.9718566
2018_07,Ulleungdo,20.60126227,38.0,26.0,0.0,Neutral,232.7172,8.016165
2018_08,Geoje,26.52159664,32.4,50.0,0.2,Neutral,203.72383,7.9961624
2018_08,Incheon,26.40321477,30.3,6.0,0.2,Neutral,208.93741,7.9823227
2018_08,Ulleungdo,22.44746082,41.9,220.0,0.2,Neutral,218.10007,7.995905
2018_09,Geoje,22.37724138,30.2,26.0,0.5,ElNiNo,207.59161,8.038343
2018_09,Incheon,23.1027259,28.6,43.0,0.5,ElNiNo,216.71375,8.047301
2018_09,Ulleungdo,20.88063889,39.0,27.0,0.5,ElNiNo,222.88232,8.037091
2018_10,Geoje,19.68885402,29.9,10.0,0.8,ElNiNo,219.4381,8.087803
2018_10,Incheon,17.76413978,30.2,11.0,0.8,ElNiNo,234.91507,8.095428
2018_10,Ulleungdo,19.34793011,35.3,18.0,0.8,ElNiNo,233.85458,8.087385
2018_11,Geoje,16.65622222,32.7,1.0,1.0,ElNiNo,231.74406,8.12471
2018_11,Incheon,12.79828909,29.7,18.0,1.0,ElNiNo,251.09343,8.131744
2018_11,Ulleungdo,18.69005556,32.5,13.0,1.0,ElNiNo,246.61803,8.133788
2018_12,Geoje,14.69382234,33.3,2.0,0.8,ElNiNo,241.98997,8.145706
2018_12,Incheon,6.086048387,30.4,26.0,0.8,ElNiNo,265.96652,8.165495
2018_12,Ulleungdo,17.58498656,29.7,4.0,0.8,ElNiNo,255.57423,8.159508
2019_01,Geoje,12.57670554,33.4,0.0,0.7,ElNiNo,252.82004,8.1627
2019_01,Incheon,1.989821183,31.6,7.0,0.7,ElNiNo,281.30847,8.206991
2019_01,Ulleungdo,16.40698925,26.1,15.0,0.7,ElNiNo,262.76672,8.168636
2019_02,Geoje,12.82523952,32.6,3.0,0.7,ElNiNo,259.11447,8.161632
2019_02,Incheon,1.953472429,30.8,40.0,0.7,ElNiNo,293.14285,8.22675
2019_02,Ulleungdo,15.60810893,24.8,25.0,0.7,ElNiNo,270.33267,8.17589
2019_03,Geoje,13.83939477,32.8,18.0,0.8,ElNiNo,265.14722,8.159591
2019_03,Incheon,6.183801653,29.7,47.0,0.8,ElNiNo,296.33652,8.224897
2019_03,Ulleungdo,11.90589147,33.9,26.0,0.8,ElNiNo,281.61044,8.188563
2019_04,Geoje,13.73430556,34.2,94.0,0.8,ElNiNo,259.72595,8.144151
2019_04,Incheon,9.924603616,29.9,54.0,0.8,ElNiNo,289.77924,8.189239
2019_04,Ulleungdo,12.35008333,33.8,62.0,0.8,ElNiNo,287.29364,8.190011
2019_05,Geoje,15.91984722,33.8,44.0,0.7,ElNiNo,246.15234,8.098687
2019_05,Incheon,15.3396496,30.3,48.0,0.7,ElNiNo,271.5523,8.124066
2019_05,Ulleungdo,15.96099462,33.9,99.0,0.7,ElNiNo,271.34225,8.139659
2019_06,Geoje,18.87948636,33.6,150.0,0.6,ElNiNo,233.11891,8.058329
2019_06,Incheon,20.28535664,30.0,58.0,0.6,ElNiNo,248.45634,8.047183
2019_06,Ulleungdo,18.47295833,34.0,38.0,0.6,ElNiNo,250.75783,8.085212
2019_07,Geoje,21.27087957,32.9,37.0,0.4,Neutral,220.51718,8.032337
2019_07,Incheon,23.90721774,30.7,43.0,0.4,Neutral,229.9867,7.9987674
2019_07,Ulleungdo,22.09643817,33.3,7.0,0.4,Neutral,233.65468,8.043709
2019_08,Geoje,24.98639321,32.8,48.0,0.2,Neutral,207.9277,7.9944997
2019_08,Incheon,26.63844086,29.5,41.0,0.2,Neutral,216.7174,7.9876122
2019_08,Ulleungdo,25.10134409,32.7,20.0,0.2,Neutral,220.16583,8.010725
2019_09,Geoje,23.58120833,32.4,92.0,0.2,Neutral,208.51968,8.036947
2019_09,Incheon,24.57488079,28.6,28.0,0.2,Neutral,221.27287,8.040397
2019_09,Ulleungdo,23.38127273,32.2,77.0,0.2,Neutral,222.91599,8.040136
2019_10,Geoje,21.12753687,32.0,12.0,0.4,Neutral,214.82176,8.078219
2019_10,Incheon,20.75861976,29.8,16.0,0.4,Neutral,232.40303,8.09112
2019_10,Ulleungdo,19.78245968,32.3,10.0,0.4,Neutral,231.64232,8.091164
2019_11,Geoje,17.53921238,33.9,3.0,0.6,ElNiNo,226.64209,8.117743
2019_11,Incheon,14.47481844,30.8,23.0,0.6,ElNiNo,249.69655,8.141158
2019_11,Ulleungdo,17.00906944,33.1,109.0,0.6,ElNiNo,242.373,8.13494
2019_12,Geoje,14.83618919,33.9,8.0,0.6,ElNiNo,239.82275,8.147332
2019_12,Incheon,7.952849462,31.1,22.0,0.6,ElNiNo,269.2818,8.186089
2019_12,Ulleungdo,15.0086828,33.4,5.0,0.6,ElNiNo,250.36806,8.155928
2020_01,Geoje,13.63282051,34.1,12.0,0.5,ElNiNo,248.23718,8.153518
2020_01,Incheon,5.16153527,30.6,17.0,0.5,ElNiNo,281.08224,8.204239
2020_01,Ulleungdo,13.13342742,33.7,3.0,0.5,ElNiNo,256.4005,8.164134
2020_02,Geoje,12.98874052,34.1,36.0,0.5,ElNiNo,257.3319,8.15808
2020_02,Incheon,5.054956897,30.4,14.0,0.5,ElNiNo,289.62253,8.210364
2020_02,Ulleungdo,11.80547414,33.4,1.0,0.5,ElNiNo,265.6038,8.172081
2020_03,Geoje,12.88533602,34.1,2.0,0.5,ElNiNo,262.89386,8.153125
2020_03,Incheon,7.268185484,30.1,64.0,0.5,ElNiNo,293.22607,8.195956
2020_03,Ulleungdo,11.17240591,33.7,1.0,0.5,ElNiNo,277.9691,8.183177
2020_04,Geoje,14.06974922,34.2,7.0,0.3,Neutral,261.06567,8.137365
2020_04,Incheon,10.81342179,30.0,9.0,0.3,Neutral,288.27313,8.163627
2020_04,Ulleungdo,11.59202946,33.9,43.0,0.3,Neutral,285.69904,8.188773
2020_05,Geoje,15.645,33.8,11.0,0.0,Neutral,250.4231,8.094707
2020_05,Incheon,15.29350806,30.8,33.0,0.0,Neutral,269.87552,8.103619
2020_05,Ulleungdo,14.63576043,33.6,76.0,0.0,Neutral,273.77652,8.144442
2020_06,Geoje,18.5070597,33.3,31.0,-0.2,Neutral,232.12827,8.037018
2020_06,Incheon,20.59704167,30.2,88.0,-0.2,Neutral,246.43665,8.021159
2020_06,Ulleungdo,19.30052778,33.6,5.0,-0.2,Neutral,250.47322,8.07211
2020_07,Geoje,19.76844086,30.1,12.0,-0.3,Neutral,222.13095,8.021726
2020_07,Incheon,23.02134409,29.5,50.0,-0.3,Neutral,233.4066,8.005827
2020_07,Ulleungdo,20.55021505,32.6,27.0,-0.3,Neutral,234.72548,8.0400715
2020_08,Geoje,21.75677419,30.0,21.0,-0.5,LaNiNa,211.08615,7.9903398
2020_08,Incheon,24.34144399,23.7,136.0,-0.5,LaNiNa,222.61414,7.9967585
2020_08,Ulleungdo,23.39245968,32.6,83.0,-0.5,LaNiNa,223.98302,8.011265
2020_09,Geoje,23.39083333,29.6,2.0,-0.9,LaNiNa,210.43864,8.0338125
2020_09,Incheon,23.95745429,25.6,20.0,-0.9,LaNiNa,223.183,8.036544
2020_09,Ulleungdo,21.01627675,32.8,24.0,-0.9,LaNiNa,223.48152,8.036507
2020_10,Geoje,20.56684134,31.5,13.0,-1.1,LaNiNa,220.42372,8.081849
2020_10,Incheon,18.76170579,28.2,32.0,-1.1,LaNiNa,237.30182,8.091679
2020_10,Ulleungdo,20.44817791,32.8,16.0,-1.1,LaNiNa,233.37123,8.088093
2020_11,Geoje,17.01002778,32.5,0.0,-1.2,LaNiNa,232.33316,8.121203
2020_11,Incheon,13.64447222,29.1,18.0,-1.2,LaNiNa,254.56815,8.136349
2020_11,Ulleungdo,17.68898611,33.0,3.0,-1.2,LaNiNa,244.96701,8.130544
2020_12,Geoje,14.15512097,33.4,0.0,-1.1,LaNiNa,239.68848,8.143315
2020_12,Incheon,6.84574124,29.4,0.0,-1.1,LaNiNa,270.80118,8.174833
2020_12,Ulleungdo,14.78578947,33.4,4.0,-1.1,LaNiNa,250.8671,8.150643
2021_01,Geoje,12.44162853,33.7,2.0,-1.1,LaNiNa,250.58687,8.149686
2021_01,Incheon,1.971115591,29.9,12.0,-1.1,LaNiNa,284.9441,8.195867
2021_01,Ulleungdo,11.96255376,33.7,2.0,-1.1,LaNiNa,258.92688,8.162079
2021_02,Geoje,12.52558917,33.8,3.0,-0.9,LaNiNa,263.391,8.1547575
2021_02,Incheon,2.541458333,29.8,91.0,-0.9,LaNiNa,297.3787,8.203145
2021_02,Ulleungdo,10.61212798,33.9,5.0,-0.9,LaNiNa,268.15503,8.16783
2021_03,Geoje,12.97590054,33.6,10.0,-0.8,LaNiNa,264.43304,8.144034
2021_03,Incheon,6.211298883,28.2,286.0,-0.8,LaNiNa,300.0665,8.184892
2021_03,Ulleungdo,11.16604839,33.9,3.0,-0.8,LaNiNa,280.88556,8.178818
2021_04,Geoje,14.71800836,34.0,37.0,-0.7,LaNiNa,254.9607,8.119067
2021_04,Incheon,11.29153409,28.9,230.0,-0.7,LaNiNa,286.66608,8.144002
2021_04,Ulleungdo,14.05959722,33.9,64.0,-0.7,LaNiNa,287.86127,8.182278
2021_05,Geoje,16.19423957,34.0,22.0,-0.5,LaNiNa,243.63852,8.081372
2021_05,Incheon,15.14748656,28.5,267.0,-0.5,LaNiNa,268.14114,8.089094
2021_05,Ulleungdo,15.78842336,34.1,57.0,-0.5,LaNiNa,272.3792,8.137059
2021_06,Geoje,18.94694524,33.5,17.0,-0.4,Neutral,228.7501,8.034606
2021_06,Incheon,19.65351389,27.5,405.0,-0.4,Neutral,245.84833,8.013931
2021_06,Ulleungdo,19.19766342,33.8,110.0,-0.4,Neutral,251.1417,8.070939
2021_07,Geoje,24.13198895,31.5,120.0,-0.4,Neutral,214.73509,7.9914
2021_07,Incheon,24.53739247,28.6,118.0,-0.4,Neutral,227.8978,7.970781
2021_07,Ulleungdo,24.4830914,33.1,103.0,-0.4,Neutral,228.909,8.0064535
2021_08,Geoje,26.28011034,31.0,43.0,-0.5,LaNiNa,208.0584,7.989177
2021_08,Incheon,26.79294355,28.4,189.0,-0.5,LaNiNa,217.82901,7.9765887
2021_08,Ulleungdo,26.00776882,32.3,10.0,-0.5,LaNiNa,218.95297,8.005453
2021_09,Geoje,24.01633333,30.4,9.0,-0.6,LaNiNa,209.2598,8.027828
2021_09,Incheon,24.57366667,28.9,78.0,-0.6,LaNiNa,221.51152,8.027337
2021_09,Ulleungdo,23.47587413,32.0,8.0,-0.6,LaNiNa,223.1351,8.038058
2021_10,Geoje,22.38834677,31.7,26.0,-0.8,LaNiNa,214.72083,8.054504
2021_10,Incheon,20.83658602,29.4,76.0,-0.8,LaNiNa,230.14134,8.075284
2021_10,Ulleungdo,21.28763441,32.1,114.0,-0.8,LaNiNa,231.18567,8.079854
2021_11,Geoje,17.04413649,33.2,1.0,-1.0,LaNiNa,229.91821,8.108722
2021_11,Incheon,14.56434722,29.9,35.0,-1.0,LaNiNa,250.15485,8.13506
2021_11,Ulleungdo,17.75543056,33.0,26.0,-1.0,LaNiNa,243.83096,8.127106
2021_12,Geoje,14.08322581,34.0,30.0,-1.0,LaNiNa,243.90074,8.144951
2021_12,Incheon,7.787741935,30.1,2.0,-1.0,LaNiNa,269.14423,8.17165
2021_12,Ulleungdo,14.43071237,33.8,12.0,-1.0,LaNiNa,254.69186,8.152457
2022_01,Geoje,12.62430108,34.1,0.0,-1.0,LaNiNa,251.93173,8.154037
2022_01,Incheon,2.869391425,29.3,0.0,-1.0,LaNiNa,284.53232,8.194775
2022_01,Ulleungdo,11.04135753,33.9,15.0,-1.0,LaNiNa,262.5194,8.163278
2022_02,Geoje,11.18260417,34.2,0.0,-0.9,LaNiNa,263.29443,8.157581
2022_02,Incheon,2.271904762,30.4,6.0,-0.9,LaNiNa,296.9063,8.209661
2022_02,Ulleungdo,10.23103448,33.9,59.0,-0.9,LaNiNa,270.46555,8.170936
2022_03,Geoje,12.24245968,34.0,14.0,-1.0,LaNiNa,273.32468,8.155651
2022_03,Incheon,5.397956989,30.3,14.0,-1.0,LaNiNa,300.8606,8.202037
2022_03,Ulleungdo,9.638669355,33.6,235.0,-1.0,LaNiNa,285.07657,8.182552
2022_04,Geoje,13.87566667,33.7,19.0,-1.1,LaNiNa,258.93814,8.119399
2022_04,Incheon,10.93420833,30.1,37.0,-1.1,LaNiNa,288.9744,8.156126
2022_04,Ulleungdo,11.85894444,33.6,152.0,-1.1,LaNiNa,290.2069,8.179269
2022_05,Geoje,15.88776882,33.4,20.0,-1.0,LaNiNa,244.61964,8.080711
2022_05,Incheon,16.41215054,30.2,7.0,-1.0,LaNiNa,268.24796,8.089388
2022_05,Ulleungdo,16.05530914,33.6,343.0,-1.0,LaNiNa,271.8445,8.125238
2022_06,Geoje,19.08481944,33.5,41.0,-0.9,LaNiNa,230.90305,8.045647
2022_06,Incheon,20.87598611,30.2,10.0,-0.9,LaNiNa,244.3748,8.017221
2022_06,Ulleungdo,19.05197222,32.8,260.0,-0.9,LaNiNa,250.58588,8.072713
2022_07,Geoje,21.35837366,33.3,4.0,-0.8,LaNiNa,214.76013,7.9841013
2022_07,Incheon,24.83793011,27.3,7.0,-0.8,LaNiNa,224.10516,7.9716935
2022_07,Ulleungdo,23.07447297,32.6,135.0,-0.8,LaNiNa,229.96432,8.013491
2022_08,Geoje,22.84297043,32.2,68.0,-0.9,LaNiNa,206.57484,7.9871407
2022_08,Incheon,26.64965054,25.1,14.0,-0.9,LaNiNa,216.10918,7.9817348
2022_08,Ulleungdo,25.19501344,32.3,190.0,-0.9,LaNiNa,220.37698,8.003104
2022_09,Geoje,23.87227778,30.0,10.0,-1.0,LaNiNa,208.74968,8.0323925
2022_09,Incheon,24.24851389,26.8,3.0,-1.0,LaNiNa,225.48517,8.042067
2022_09,Ulleungdo,22.13309722,32.1,46.0,-1.0,LaNiNa,224.79906,8.041769
2022_10,Geoje,21.09721774,29.8,30.0,-1.0,LaNiNa,218.99944,8.0758295
2022_10,Incheon,19.39601615,28.1,7.0,-1.0,LaNiNa,241.23262,8.097218
2022_10,Ulleungdo,20.70901882,32.6,60.0,-1.0,LaNiNa,233.79463,8.09156
2022_11,Geoje,18.47520833,32.2,24.0,-0.9,LaNiNa,232.70978,8.115132
2022_11,Incheon,14.97631944,29.1,0.0,-0.9,LaNiNa,257.28018,8.134751
2022_11,Ulleungdo,18.55526389,33.0,5.0,-0.9,LaNiNa,244.13232,8.131887
2022_12,Geoje,15.05862903,32.4,1.0,-0.8,LaNiNa,243.71811,8.141945
2022_12,Incheon,6.743790323,29.5,0.0,-0.8,LaNiNa,271.38754,8.170533
2022_12,Ulleungdo,15.70083333,33.7,21.0,-0.8,LaNiNa,251.88457,8.1499815
2023_01,Geoje,12.48568151,32.4,30.0,-0.7,LaNiNa,252.0329285,8.154239655
2023_01,Incheon,3.027172131,29.7,1.0,-0.7,LaNiNa,283.3454895,8.196585655
2023_01,Ulleungdo,13.11376871,33.5,12.0,-0.7,LaNiNa,258.3848572,8.163181305
2023_02,Geoje,12.4674584,33.5,99.0,-0.4,Neutral,262.6201477,8.158413887
2023_02,Incheon,3.095565476,29.9,22.0,-0.4,Neutral,294.8900146,8.206965446
2023_02,Ulleungdo,12.4946131,32.3,32.0,-0.4,Neutral,266.4589539,8.17099762
2023_03,Geoje,13.86287634,32.6,4.0,-0.1,Neutral,266.082428,8.152887344
2023_03,Incheon,6.567647849,30.0,1.0,-0.1,Neutral,297.5444946,8.195837021
2023_03,Ulleungdo,12.85247312,32.2,48.0,-0.1,Neutral,280.8120728,8.18165493
2023_04,Geoje,15.41601389,33.4,247.0,0.2,Neutral,260.5029907,8.131337166
2023_04,Incheon,11.09441667,29.9,39.0,0.2,Neutral,288.0874023,8.157963753
2023_04,Ulleungdo,14.79563889,32.5,44.0,0.2,Neutral,288.0102844,8.182813644
2023_05,Geoje,16.52670699,33.0,39.0,0.5,ElNiNo,245.2449799,8.088131905
2023_05,Incheon,15.86682796,29.6,21.0,0.5,ElNiNo,266.9956665,8.095629692
2023_05,Ulleungdo,17.09173387,32.2,140.0,0.5,ElNiNo,272.5677795,8.13248539
2023_06,Geoje,18.987625,32.9,9.0,0.8,ElNiNo,228.408783,8.040202141
2023_06,Incheon,20.85852778,29.5,2.0,0.8,ElNiNo,242.5595245,8.013335228
2023_06,Ulleungdo,22.55752778,32.4,31.0,0.8,ElNiNo,250.706192,8.069105148
2023_07,Geoje,21.83763441,31.2,253.0,1.1,ElNiNo,215.4056396,8.006690979
2023_07,Incheon,24.3975,26.1,15.0,1.1,ElNiNo,225.3822021,7.981808662
2023_07,Ulleungdo,24.51366083,32.5,27.0,1.1,ElNiNo,232.4877014,8.023346901
2023_08,Geoje,26.56893243,29.5,124.0,1.3,ElNiNo,207.4466095,7.996866226
2023_08,Incheon,27.06708277,26.8,13.0,1.3,ElNiNo,216.3023071,7.985359192
2023_08,Ulleungdo,27.76341398,32.8,126.0,1.3,ElNiNo,221.7572784,8.009005547
2023_09,Geoje,25.5269671,29.3,0.0,1.6,ElNiNo,209.5875397,8.032063484
2023_09,Incheon,25.78368056,27.7,3.0,1.6,ElNiNo,220.8829498,8.035118103
2023_09,Ulleungdo,26.57123611,31.8,7.0,1.6,ElNiNo,223.1094666,8.039140701
2023_10,Geoje,20.9966761,31.8,5.0,1.8,ElNiNo,218.3888092,8.076211929
2023_10,Incheon,20.60438005,28.7,13.0,1.8,ElNiNo,233.5743256,8.080275536
2023_10,Ulleungdo,20.77080808,32.6,46.0,1.8,ElNiNo,232.5905457,8.087333679
2023_11,Geoje,16.4925419,33.4,0.0,1.9,ElNiNo,231.2243652,8.118162155
2023_11,Incheon,14.16822222,29.2,1.0,1.9,ElNiNo,252.8245392,8.132254601
2023_11,Ulleungdo,18.938375,33.0,15.0,1.9,ElNiNo,244.016098,8.130970001
2023_12,Geoje,14.47540166,33.8,0.0,2.0,ElNiNo,243.7619324,8.147723198
2023_12,Incheon,6.904086022,29.5,0.0,2.0,ElNiNo,270.9493103,8.170929909
2023_12,Ulleungdo,15.13744624,33.2,10.0,2.0,ElNiNo,253.0644379,8.153258324
2024_01,Geoje,12.88395161,33.8,0.0,1.8,ElNiNo,252.0329285,8.154280663
2024_01,Incheon,3.927930108,29.5,4.0,1.8,ElNiNo,283.3454895,8.197262764
2024_01,Ulleungdo,12.1493844,33.2,2.0,1.8,ElNiNo,258.3848572,8.162941933
2024_02,Geoje,12.62451149,33.8,25.0,1.5,ElNiNo,262.6201477,8.158479691
